Frame Index,TPose Value,Timestamp,Trunk LatBend R/L,Trunk F/E,Trunk Rot R/L,RShould F/E,LShould F/E,RShould Add/Abd,LShould Add/Abd,RHip F/E,LHip F/E,RHip Add/Abd,LHip Add/Abd,RHip Int/Ext Rot,LHip Int/Ext Rot,LElbow F/E,RElbow F/E,RKnee F/E,LKnee F/E,
109,0,491.208,-0.2748253,-0.7625886,-0.3669084,62.57227,-178.1518,-88.55469,93.63038,0.5000685,-0.9454328,0.5000685,0.166689,0.8460083,0.03312683,0.9219604,1.583874,1.482397,0.1027921,
110,0,491.233,-0.3006659,-0.7702479,-0.3636945,63.34522,-178.7788,-88.59888,93.66623,0.5286014,-0.9557254,0.5286014,0.2036718,0.8418884,0.04837036,0.9304113,1.605716,1.469936,0.09278741,
111,0,491.257,-0.3232465,-0.7755645,-0.3615361,63.98343,-179.096,-88.63828,93.69976,0.5570779,-0.9606267,0.5570779,0.2398483,0.8390198,0.05693054,0.9369085,1.631349,1.4571,0.08846933,
112,0,491.28,-0.339197,-0.7813459,-0.3588198,64.42046,-179.4659,-88.66579,93.72313,0.5851721,-0.9661109,0.5851721,0.2676108,0.8411865,0.0629425,0.9392031,1.652682,1.448073,0.08392937,
113,0,491.303,-0.3522151,-0.7813459,-0.3577275,64.53169,-179.7467,-88.69424,93.74152,0.6068404,-0.9679322,0.6068404,0.2940859,0.8426819,0.06504822,0.9392031,1.67234,1.443743,0.07661668,
114,0,491.327,-0.3674413,-0.7748073,-0.354982,64.48606,-179.9802,-88.70819,93.76059,0.6330382,-0.9628648,0.6330382,0.3238513,0.8458557,0.06651306,0.9387863,1.69096,1.440757,0.07401875,
115,0,491.35,-0.3886621,-0.7682129,-0.3555328,64.47115,180,-88.70943,93.7698,0.6655847,-0.9571576,0.6655847,0.3609945,0.8565063,0.06544495,0.9412843,1.709606,1.442793,0.0656106,
116,0,491.374,-0.403483,-0.7636142,-0.3577275,64.36821,179.9515,-88.71476,93.77621,0.6909717,-0.9555206,0.6909717,0.4000739,0.8723145,0.06260681,0.9416999,1.730653,1.444014,0.05595291,
117,0,491.397,-0.4182466,-0.749649,-0.365305,64.49765,-179.7651,-88.7187,93.74327,0.7127182,-0.9435682,0.7127182,0.4379019,0.8833618,0.05851746,0.9454328,1.749659,1.440893,0.05595291,
118,0,491.422,-0.4242849,-0.7378095,-0.3727285,64.65601,-179.5766,-88.72576,93.71597,0.7260464,-0.9392031,0.7260464,0.4656223,0.9121094,0.04516602,0.9487386,1.763807,1.432448,0.03956468,
